docid,author,inferreddate,enumcron,volnum,nonficprob,place,estimated_gender,page_count,genre
mdp.39015053654904,"Edgeworth, Maria",1809.0,v.3,3.0,0.1395202590390752,enk,f,406,Fiction
mdp.39015053654896,"Edgeworth, Maria",1809.0,v.4,4.0,0.0545641844045734,enk,f,488,Fiction
mdp.39015063955564,"pseud. Pry, Peter",1809.0,,,0.0,enk,m,370,Fiction
uc1.b3325433,"Edgeworth, Maria",1809.0,v.6,6.0,0.140970503635578,enk,f,496,Fiction
uc2.ark+=13960=t8ff3qk5c,"Hill, Thomas",1809.0,,,0.476502315709093,enk,m,366,Fiction
nnc1.cu58503331,"Bage, Robert",1809.0,v.1,1.0,0.2842282337929883,enk,m,256,Fiction
uiuo.ark+=13960=t9f481w8n,"Francis, Sophia L",1809.0,v.1,1.0,0.0152339957321504,enk,f,286,Fiction
uiuo.ark+=13960=t80k2wc85,"Kett, Henry",1809.0,v.1,1.0,0.0,enk,m,346,Fiction
uiuo.ark+=13960=t9c54319z,"Cumberland, Richard",1809.0,v.2,2.0,0.1210135225963861,enk,m,312,Fiction
uiuo.ark+=13960=t02z1vw6b,"Peregrine, Peter",1809.0,v.1,1.0,0.1573523412907209,enk,m,246,Fiction
uiuo.ark+=13960=t9j399s2p,,1809.0,v.1,1.0,0.0281943485088643,enk,unknown,298,Fiction
njp.32101069157483,"Madame Cottin, (Sophie)",1809.0,v.1,1.0,0.1711201468307313,enk,f,270,Fiction
hvd.hxgeza,"Byron, Medora Gordon",1809.0,v.1,1.0,0.0,enk,unknown,342,Fiction
hvd.hwe3la,"Opie, Amelia Alderson",1809.0,v.1,1.0,0.069245148000145,enk,f,368,Fiction
uc2.ark+=13960=t6tx35s35,,1810.0,,,0.5878048420918678,enk,unknown,232,Fiction
nnc1.0315302636,"Scott, Honoria",1810.0,v.2,2.0,0.1289317795213211,enk,f,258,Fiction
nyp.33433081563516,,1810.0,v. 27,27.0,0.3542415872342477,enk,unknown,406,Fiction
nyp.33433074865290,"Jones, E. (Evan)",1810.0,,,0.0,enk,m,176,Fiction
uiuo.ark+=13960=t2b85v820,"Palmer, Alicia Tindal",1810.0,v.1,1.0,0.1925266533397232,enk,f,336,Fiction
uiuo.ark+=13960=t7tm7k25c,"Cuthbertson, Catherine",1810.0,v.1,1.0,0.1413472464184711,enk,f,470,Fiction
uiuo.ark+=13960=t2891wf6s,"English, John",1810.0,v.1,1.0,0.3275989144054275,enk,m,288,Fiction
uiuo.ark+=13960=t1vd7jt2z,"Holstein, Anthony Frederick",1810.0,v.1,1.0,0.0,enk,m,300,Fiction
uiuo.ark+=13960=t3dz0t97b,Walsh,1810.0,v.1,1.0,0.0951083937994712,enk,unknown,252,Fiction
uiuo.ark+=13960=t78s5bv2b,"Roche, John Hamilton",1810.0,v.1,1.0,0.7531786560147573,enk,m,232,Fiction
uiuo.ark+=13960=t3rv15x6h,"Edgeworth, Maria",1810.0,v.1,1.0,0.5360346660872707,enk,f,214,Fiction
